0	-20	-20	1.0422	806.978	2	1	
1	-18	-18	-0.122098	256.673	2	3	
2	-16	-16	2.94358	300.09	0	2	
3	-14	-14	-0.374988	636.543	2	0	
0	-19.5818	-14.7602	1.53811	806.978	2	1	
1	-13.5361	-22.1365	-0.560114	256.673	2	3	
2	-16.6299	-16.4343	2.72813	300.09	0	2	
3	-10.3801	-16.5462	0.454089	636.543	2	0	
0	-21.6275	-10.1336	2.39877	806.978	2	1	
1	-9.55209	-25.6603	-1.2142	256.673	2	3	
2	-18.15	-14.2732	3.14352	300.09	1	2	
3	-5.87498	-15.655	-0.864992	636.543	2	0	
0	-22.0721	-10.1148	1.77732	806.978	0	1	
1	-9.85647	-25.984	-1.17017	256.673	0	3	
2	-16.9628	-14.2012	2.75321	300.09	0	2	
3	-6.3808	-16.0044	-0.856995	636.543	0	0	
0	-21.7222	-4.00491	0.977991	806.978	2	1	
1	-8.63373	-25.8266	-1.598	256.673	0	3	
2	-16.5804	-14.8493	3.15391	300.09	0	2	
3	-5.8988	-16.5242	-1.48605	636.543	0	0	
0	-19.3812	0.0383315	1.5695	806.978	2	1	
1	-8.92255	-26.0785	-1.71575	256.673	0	3	
2	-15.2167	-15.2706	2.09553	300.09	0	2	
3	-5.32231	-17.5496	-1.3792	636.543	0	0	
0	-21.8119	4.53843	1.9334	806.978	2	1	
1	-9.09925	-26.1631	-2.13232	256.673	0	3	
2	-17.9078	-12.1428	1.85288	300.09	2	2	
3	-3.42787	-17.4582	-0.409483	636.543	0	0	
0	-22.6912	4.89541	2.59512	806.978	0	1	
1	-9.51753	-24.6697	-1.82959	256.673	0	3	
2	-21.1993	-9.55377	2.57326	300.09	2	2	
3	2.05491	-16.2251	0.474191	636.543	2	0	
0	-22.4667	5.29006	2.98773	806.978	0	1	
1	-9.1416	-25.4152	-1.70412	256.673	0	3	
2	-21.285	-9.40153	1.58916	300.09	0	2	
3	6.99892	-13.899	0.589	636.543	2	0	
0	-22.0359	5.39556	2.84979	806.978	0	1	
1	-10.051	-24.4484	-0.334741	256.673	0	3	
2	-22.7398	-4.33876	2.32164	300.09	2	2	
3	11.4907	-13.0649	0.18469	636.543	2	0	
0	-22.8037	4.20867	2.66326	444.507	0	1	
1	-8.06558	-27.3168	-1.9736	291.762	2	3	
2	-24.4193	-4.78636	2.59219	190.146	0	2	
3	12.5313	-14.2026	-0.103618	173.065	1	0	
0	-22.5045	4.00795	2.84377	444.507	0	1	
1	-8.38404	-28.1888	-2.74664	291.762	0	3	
2	-25.2263	-5.04964	2.80462	190.146	0	2	
3	12.8297	-13.962	-0.680971	173.065	0	0	
0	-21.1737	4.07715	3.36626	444.507	0	1	
1	-8.05897	-27.618	-3.3993	291.762	0	3	
2	-25.109	-4.55874	2.51441	190.146	0	2	
3	12.635	-14.813	-1.13757	173.065	0	0	
0	-20.2888	2.9034	4.79662	444.507	0	1	
